question,answer
¿Cómo se detecta Trastorno de ansiedad generalizada?,"Se diagnostica mediante entrevistas clínicas estructuradas que evalúan la duración, intensidad y naturaleza de la preocupación, según criterios del DSM-5. También se descartan otras condiciones médicas o psiquiátricas."
¿Qué recomendaciones generales se deben seguir si se tiene Trastorno de ansiedad generalizada?,"Es recomendable recibir psicoterapia (especialmente terapia cognitivo-conductual), mantener hábitos saludables, evitar el consumo de cafeína o alcohol en exceso, y seguir el tratamiento farmacológico si está prescrito."
¿Qué es Depresión mayor?,"Es un trastorno del estado de ánimo caracterizado por tristeza persistente, pérdida de interés en actividades habituales, fatiga, alteraciones del sueño o apetito, y pensamientos de inutilidad o muerte, durante al menos dos semanas consecutivas."
¿Cómo se puede prevenir Depresión mayor?,"La prevención incluye la promoción de la salud mental, reducción del estrés, fortalecimiento de vínculos sociales, identificación temprana de síntomas depresivos y acceso a apoyo psicológico cuando sea necesario."
¿Cómo se detecta Depresión mayor?,"Se diagnostica mediante evaluación clínica basada en criterios del DSM-5 y escalas validadas como el Inventario de Depresión de Beck. Se analiza la duración e impacto funcional de los síntomas."
¿Qué recomendaciones generales se deben seguir si se tiene Depresión mayor?,"Seguir un plan de tratamiento individualizado que incluya psicoterapia, medicamentos si son indicados, actividad física regular, buena higiene del sueño y evitar el aislamiento."
¿Qué es Trastorno obsesivo-compulsivo (TOC)?,"Es un trastorno de ansiedad caracterizado por obsesiones (pensamientos intrusivos y recurrentes) y compulsiones (conductas repetitivas) que la persona realiza para reducir la ansiedad. Interfiere con la vida cotidiana."
¿Cómo se puede prevenir Trastorno obsesivo-compulsivo (TOC)?,"No siempre es prevenible, pero el diagnóstico y tratamiento temprano puede reducir su impacto. La educación sobre salud mental y la intervención precoz son clave."
¿Cómo se detecta Trastorno obsesivo-compulsivo (TOC)?,"Se diagnostica mediante entrevista clínica basada en el DSM-5, y puede utilizarse la Escala de Obsesiones y Compulsiones de Yale-Brown para evaluar la severidad."
¿Qué recomendaciones generales se deben seguir si se tiene Trastorno obsesivo-compulsivo (TOC)?,"Se recomienda la terapia cognitivo-conductual con exposición y prevención de respuesta, el uso de ISRS (inhibidores selectivos de la recaptación de serotonina), y apoyo psicoeducativo al entorno."
¿Qué es Trastorno de pánico?,"Es un trastorno de ansiedad caracterizado por ataques de pánico recurrentes e inesperados, que incluyen síntomas físicos intensos como palpitaciones, sudoración, temblores, sensación de ahogo o miedo a morir."
¿Cómo se puede prevenir Trastorno de pánico?,"Puede prevenirse en parte reduciendo el estrés, evitando estimulantes como la cafeína y atendiendo los primeros signos de ansiedad con apoyo psicológico."
¿Cómo se detecta Trastorno de pánico?,"Se diagnostica clínicamente mediante la historia del paciente, según los criterios del DSM-5. También se descartan causas médicas de los síntomas físicos."
¿Qué recomendaciones generales se deben seguir si se tiene Trastorno de pánico?,"Incluir terapia cognitivo-conductual, manejo del estrés, posible medicación con antidepresivos o ansiolíticos, y educación sobre la naturaleza de los ataques."
¿Qué es Trastorno bipolar?,"Es un trastorno del estado de ánimo caracterizado por episodios de manía (estado de euforia, hiperactividad e impulsividad) y depresión, que alteran significativamente el funcionamiento diario."
¿Cómo se puede prevenir Trastorno bipolar?,"No se puede prevenir del todo, pero el tratamiento temprano, la adherencia a la medicación y evitar desencadenantes como el insomnio o el estrés ayudan a controlar los episodios."
¿Cómo se detecta Trastorno bipolar?,"Se diagnostica mediante evaluación clínica con criterios del DSM-5, revisión de la historia del estado de ánimo, y a veces con la ayuda de familiares para identificar los episodios."
¿Qué recomendaciones generales se deben seguir si se tiene Trastorno bipolar?,"Seguir tratamiento farmacológico con estabilizadores del ánimo, mantener rutinas estables, dormir adecuadamente y asistir regularmente a terapia."
¿Qué es Trastorno de estrés postraumático (TEPT)?,"Es un trastorno que puede desarrollarse tras la exposición a un evento traumático. Se caracteriza por recuerdos intrusivos, pesadillas, hipervigilancia, y evitación de situaciones relacionadas con el trauma."
¿Cómo se puede prevenir Trastorno de estrés postraumático (TEPT)?,"El apoyo psicológico inmediato tras una experiencia traumática y el acceso a redes de apoyo pueden reducir el riesgo. La detección temprana también es importante."
¿Cómo se detecta Trastorno de estrés postraumático (TEPT)?,"Se diagnostica mediante entrevistas clínicas según el DSM-5, valorando la intensidad y persistencia de los síntomas tras el trauma."
¿Qué recomendaciones generales se deben seguir si se tiene Trastorno de estrés postraumático (TEPT)?,"Se recomienda la terapia cognitivo-conductual centrada en el trauma, EMDR (desensibilización y reprocesamiento por movimientos oculares), y en algunos casos, tratamiento farmacológico."
¿Qué es Fobia social?,"También conocida como trastorno de ansiedad social, es un miedo intenso y persistente a situaciones sociales por temor al juicio o evaluación negativa de los demás."
¿Cómo se puede prevenir Fobia social?,"La prevención puede incluir fortalecer la autoestima en etapas tempranas, evitar el aislamiento, y promover habilidades sociales. La detección precoz ayuda."
¿Cómo se detecta Fobia social?,"Se basa en entrevista clínica y en herramientas como la Escala de Ansiedad Social de Liebowitz. Se evalúa el grado de interferencia en la vida diaria."
¿Qué recomendaciones generales se deben seguir si se tiene Fobia social?,"Realizar terapia cognitivo-conductual con exposición gradual, desarrollar habilidades sociales, y en algunos casos, medicación como ISRS."
¿Qué es Fobia específica?,"Es un trastorno de ansiedad caracterizado por miedo intenso, irracional y persistente hacia un objeto o situación específica, como volar, alturas o animales."
¿Cómo se puede prevenir Fobia específica?,"La prevención directa no siempre es posible, pero la exposición temprana controlada a situaciones temidas puede reducir el riesgo. También influye el modelado parental."
¿Cómo se detecta Fobia específica?,"Se detecta mediante entrevista clínica y evaluación del miedo desproporcionado al estímulo específico y su impacto funcional."
¿Qué recomendaciones generales se deben seguir si se tiene Fobia específica?,"La terapia de exposición es la intervención más eficaz. La terapia cognitivo-conductual también puede ayudar a modificar pensamientos disfuncionales."
¿Qué es Trastorno de la alimentación (anorexia)?,"Es un trastorno caracterizado por restricción extrema en la ingesta de alimentos, miedo intenso a subir de peso y una imagen corporal distorsionada. Puede causar graves consecuencias médicas."
¿Cómo se puede prevenir Trastorno de la alimentación (anorexia)?,"Fomentar una imagen corporal saludable, evitar comentarios negativos sobre el peso en la infancia y adolescencia, y educar sobre nutrición pueden ser medidas preventivas."
¿Cómo se detecta Trastorno de la alimentación (anorexia)?,"Se detecta mediante evaluación clínica y nutricional, análisis físicos y entrevistas psiquiátricas. El peso corporal bajo suele ser un criterio clave."
¿Qué recomendaciones generales se deben seguir si se tiene Trastorno de la alimentación (anorexia)?,"Es fundamental un enfoque multidisciplinario con tratamiento psicológico, nutricional y médico. La terapia familiar también es útil, especialmente en adolescentes."
¿Qué es Bulimia nerviosa?,"Es un trastorno alimentario caracterizado por episodios de ingesta excesiva de alimentos seguidos de conductas compensatorias como vómitos autoinducidos, uso de laxantes o ejercicio excesivo."
¿Cómo se puede prevenir Bulimia nerviosa?,"Se puede prevenir con educación temprana sobre hábitos alimentarios saludables, buena autoestima y evitando la presión social sobre la apariencia."
¿Cómo se detecta Bulimia nerviosa?,"Se detecta con entrevistas clínicas, revisión de patrones alimentarios y comportamientos compensatorios, además de signos físicos como erosión dental."
¿Qué recomendaciones generales se deben seguir si se tiene Bulimia nerviosa?,"El tratamiento incluye psicoterapia (preferiblemente cognitivo-conductual), atención médica, restauración de hábitos alimentarios saludables y soporte familiar."
